CNPJ do Administrador (Agente de Registro),CNPJ do,Prestador de Serviço é o Gestor do Fundo (S/N),CNPJ DA CARTEIRA,CNPJ do Pagador pelos Serviços da CERC,Trading Name, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,07.084.253/0001-30,07.084.253/0001-30,MULTI INFRA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,07.383.363/0001-00,07.383.363/0001-00,LECCA FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,08.093.745/0001-54,08.093.745/0001-54,V1 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS MULTICARTEIRA OUTROS, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,08.270.249/0001-29,08.270.249/0001-29,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MACCRED NÃO PADRONIZADO, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,08.611.414/0001-69,08.611.414/0001-69,V3 FIDC MULTICARTEIRA - NP, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,08.654.210/0001-05,08.654.210/0001-05,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSETORIAL ONE7 LP, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,08.678.936/0001-88,08.678.936/0001-88,SIFRA PLUS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSEGMENTOS, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,08.756.222/0001-40,08.756.222/0001-40,FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS TRADEMAX, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,08.930.397/0001-22,08.930.397/0001-22,FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS MULTISETORIAL PROSPECTA LP, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,09.057.948/0001-58,09.057.948/0001-58,FIDC MULTISETORIAL EXICON I, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,09.104.359/0001-83,09.104.359/0001-83,DETOMASO FIDC-NP MULTISSETORIAL, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,09.163.026/0001-25,09.163.026/0001-25,MERIDIANO - FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISEGMENTOS - NÃO PADRONIZADO, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,09.239.216/0001-89,09.239.216/0001-89,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISETORIAL SM LP, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,09.363.400/0001-36,09.363.400/0001-36,MERCANTIL NP FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS NAO PADRONIZADOS MULTISETORIAL, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,09.410.142/0001-00,09.410.142/0001-00,TARGET FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS- MULTICREDITO, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,09.520.712/0001-06,09.520.712/0001-06,GRAN FIDC NÃO-PADRONIZADOS MULTISSETORIAL NP - GRANFIDC, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,10.145.630/0001-08,10.145.630/0001-08,QUATA FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS MULTISETORIAL, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,10.237.131/0001-40,10.237.131/0001-40,IAA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,10.338.491/0001-39,10.338.491/0001-39,BELLUNO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - MULTISETORIAL, ,,,
62.285.390/0001-40,62.285.390/0001-40,N,10.434.089/0001-58,10.434.089/0001-58,BMA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSETORIAL, ,,,
